Hero_id;Hero_name;Movie;Affiliation
0;Aaron Davis;Spider-Man: Homecoming;Unnafiliated
1;Abomination;The Incredible Hulk;Unnafiliated
1;Abomination;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
2;Abraham;Spider-Man: Homecoming;Unnafiliated
3;Abraham Erskine;Captain America: The First Avenger;Unnafiliated
4;Agent 13;Captain America: The Winter Soldier;Unnafiliated
5;Ajak;Eternals;Unnafiliated
6;Akihiko;Avengers: Endgame;Unnafiliated
7;Aldrich Killian;Iron Man 3;A.I.M.
8;Aleta Ogord;Guardians of the Galaxy Vol. 2;Unnafiliated
9;Alexander Pierce;Captain America: The Winter Soldier;Unnafiliated
9;Alexander Pierce;Avengers: Endgame;Unnafiliated
10;America Chavez;Doctor Strange in the Multiverse of Madness;Unnafiliated
11;Ancient One;Doctor Strange;Unnafiliated
11;Ancient One;Avengers: Endgame;Unnafiliated
12;Aneka;Black Panther: Wakanda Forever;Unnafiliated
13;Annie Marie Hoag;Spider-Man: Homecoming;Unnafiliated
14;Ant-Man;Ant-Man;Avengers
14;Ant-Man;Captain America: Civil War;Avengers
14;Ant-Man;Ant-Man and the Wasp;Avengers
14;Ant-Man;Avengers: Endgame;Avengers
14;Ant-Man;Ant-Man and the Wasp: Quantumania;Avengers
15;Anton Vanko;Iron Man 2;Unnafiliated
16;Arishem;Eternals;Unnafiliated
17;Arnim Zola;Captain America: The First Avenger;Unnafiliated
17;Arnim Zola;Captain America: The Winter Soldier;Unnafiliated
18;Att-Lass;Captain Marvel;Starforce
19;Attuma;Black Panther: Wakanda Forever;Unnafiliated
20;Axl Heimdallson;Thor: Love and Thunder;Unnafiliated
21;Ayesha;Guardians of the Galaxy Vol. 2;Unnafiliated
22;Ayo;Captain America: Civil War;Dora Milaje
22;Ayo;Black Panther;Dora Milaje
22;Ayo;Avengers: Infinity War;Dora Milaje
22;Ayo;Black Panther: Wakanda Forever;Dora Milaje
23;Bast;Thor: Love and Thunder;Unnafiliated
24;Bereet;Guardians of the Galaxy;Unnafiliated
25;Beth;Marvel’s The Avengers;Unnafiliated
26;Betty Brant;Spider-Man: Homecoming;Unnafiliated
26;Betty Brant;Spider-Man: Far From Home;Unnafiliated
26;Betty Brant;Spider-Man: No Way Home;Unnafiliated
27;Betty Ross;The Incredible Hulk;Unnafiliated
28;Bill Foster;Ant-Man and the Wasp;Unnafiliated
29;Billy Maximoff;Doctor Strange in the Multiverse of Madness;Unnafiliated
30;Black Bolt;Doctor Strange in the Multiverse of Madness;Unnafiliated
31;Black Panther;Captain America: Civil War;Unnafiliated
31;Black Panther;Black Panther;Unnafiliated
31;Black Panther;Avengers: Infinity War;Unnafiliated
31;Black Panther;Avengers: Endgame;Unnafiliated
31;Black Panther;Black Panther: Wakanda Forever;Unnafiliated
32;Black Widow;Iron Man 2;Avengers
32;Black Widow;Captain America: The Winter Soldier;Avengers
32;Black Widow;Avengers: Age of Ultron;Avengers
32;Black Widow;Captain America: Civil War;Avengers
32;Black Widow;Thor: Ragnarok;Avengers
32;Black Widow;Avengers: Infinity War;Avengers
32;Black Widow;Captain Marvel;Avengers
32;Black Widow;Avengers: Endgame;Avengers
32;Black Widow;Black Widow;Avengers
32;Black Widow;Shang-Chi and the Legend of the Ten Rings;Avengers
33;Blade;Eternals;Unnafiliated
